cycles,side,pmax,PA,CCT,Dt,PS,mu,ad,I,M,Tumor size,Confluence
480,75,18,1,17,0.041666666666666664,20,3,7,5,0,227,4.035555555555556
480,75,19,1,30,0.041666666666666664,22,5,6,1,2,977,17.36888888888889
480,75,20,2,23,0.041666666666666664,25,3,4,5,1,0,0.0
480,75,19,3,28,0.041666666666666664,36,8,6,0,3,556,9.884444444444444
480,75,19,3,22,0.041666666666666664,16,4,10,0,1,105,1.866666666666667
480,75,19,1,32,0.041666666666666664,42,4,10,0,9,429,7.626666666666666
480,75,15,3,36,0.041666666666666664,36,4,3,5,8,0,0.0
480,75,17,1,17,0.041666666666666664,71,2,10,5,8,204,3.626666666666667
480,75,17,3,26,0.041666666666666664,29,10,4,1,9,1131,20.106666666666666
480,75,19,2,22,0.041666666666666664,24,4,3,1,5,2190,38.93333333333333
480,75,16,3,41,0.041666666666666664,71,10,3,2,10,878,15.608888888888888
480,75,20,3,46,0.041666666666666664,27,9,3,1,1,2,0.035555555555555556
480,75,16,2,18,0.041666666666666664,56,8,8,4,8,1300,23.11111111111111
480,75,18,2,16,0.041666666666666664,44,8,2,4,9,2007,35.68
480,75,16,3,31,0.041666666666666664,74,9,7,1,6,1840,32.711111111111116
480,75,16,1,48,0.041666666666666664,59,4,5,3,6,205,3.644444444444445
480,75,15,3,28,0.041666666666666664,13,3,7,4,10,0,0.0
480,75,20,2,39,0.041666666666666664,16,5,2,0,10,1091,19.395555555555553
480,75,16,1,40,0.041666666666666664,72,4,2,5,3,0,0.0
480,75,19,2,33,0.041666666666666664,42,9,0,5,6,24,0.4266666666666667
480,75,18,1,30,0.041666666666666664,12,2,6,3,5,325,5.777777777777778
480,75,20,1,12,0.041666666666666664,47,10,9,2,0,1148,20.40888888888889
480,75,17,2,33,0.041666666666666664,52,10,4,0,1,1676,29.795555555555552
480,75,18,3,32,0.041666666666666664,44,2,1,2,10,621,11.04
480,75,16,2,38,0.041666666666666664,57,6,3,5,7,6,0.10666666666666667
480,75,19,2,25,0.041666666666666664,50,3,4,0,1,1864,33.13777777777778
480,75,15,3,18,0.041666666666666664,42,4,1,2,0,720,12.8
480,75,17,1,47,0.041666666666666664,25,3,7,4,8,0,0.0
480,75,15,2,40,0.041666666666666664,21,8,1,0,5,324,5.76
480,75,18,3,48,0.041666666666666664,34,6,7,1,5,21,0.37333333333333335
480,75,16,3,39,0.041666666666666664,27,9,8,4,5,0,0.0
480,75,17,3,48,0.041666666666666664,67,3,10,4,4,0,0.0
480,75,19,2,30,0.041666666666666664,74,7,9,5,6,0,0.0
480,75,20,2,41,0.041666666666666664,45,6,4,2,3,583,10.364444444444445
480,75,18,2,19,0.041666666666666664,35,10,1,4,10,2128,37.83111111111111
480,75,15,1,24,0.041666666666666664,34,6,7,3,10,579,10.293333333333333
480,75,16,1,16,0.041666666666666664,56,3,4,2,5,1467,26.08
480,75,16,1,27,0.041666666666666664,55,5,3,3,10,5,0.08888888888888889
480,75,16,2,18,0.041666666666666664,69,6,5,4,7,2704,48.07111111111111
480,75,18,3,47,0.041666666666666664,38,6,1,4,7,0,0.0
480,75,17,1,22,0.041666666666666664,25,4,2,5,10,727,12.924444444444443
480,75,18,3,30,0.041666666666666664,75,2,7,3,7,1553,27.608888888888888
480,75,15,3,45,0.041666666666666664,22,10,5,5,5,0,0.0
480,75,18,2,41,0.041666666666666664,31,10,1,5,1,3,0.05333333333333334
480,75,17,3,25,0.041666666666666664,15,7,7,0,1,616,10.95111111111111
480,75,16,3,13,0.041666666666666664,26,5,10,3,6,277,4.924444444444444
480,75,18,3,42,0.041666666666666664,30,2,4,5,8,0,0.0
480,75,18,1,33,0.041666666666666664,62,7,10,1,8,467,8.302222222222222
480,75,17,1,38,0.041666666666666664,60,6,6,5,0,0,0.0
480,75,15,2,13,0.041666666666666664,41,6,2,2,0,3953,70.27555555555556
480,75,16,3,33,0.041666666666666664,56,7,10,3,8,27,0.48
480,75,15,1,44,0.041666666666666664,52,5,0,3,3,672,11.946666666666667
480,75,20,2,42,0.041666666666666664,16,6,10,4,10,0,0.0
480,75,18,2,31,0.041666666666666664,45,4,0,4,3,125,2.2222222222222223
480,75,15,1,33,0.041666666666666664,13,4,7,0,3,386,6.862222222222222
480,75,18,3,21,0.041666666666666664,29,10,2,0,6,2877,51.14666666666666
480,75,17,2,48,0.041666666666666664,46,10,5,4,1,1,0.017777777777777778
480,75,19,3,43,0.041666666666666664,69,7,8,0,7,905,16.08888888888889
480,75,19,2,29,0.041666666666666664,38,5,6,4,2,42,0.7466666666666667
480,75,20,2,15,0.041666666666666664,18,2,4,0,10,369,6.5600000000000005
480,75,18,2,12,0.041666666666666664,61,3,1,4,0,3034,53.937777777777775
480,75,16,3,34,0.041666666666666664,17,8,2,0,7,205,3.644444444444445
480,75,19,1,18,0.041666666666666664,46,8,4,0,7,2288,40.675555555555555
480,75,16,1,19,0.041666666666666664,45,6,5,1,5,1968,34.986666666666665
480,75,16,1,12,0.041666666666666664,35,3,4,2,8,747,13.28
480,75,17,3,28,0.041666666666666664,48,8,9,3,5,458,8.142222222222223
480,75,19,1,43,0.041666666666666664,64,5,10,0,1,439,7.804444444444444
480,75,18,3,38,0.041666666666666664,69,3,3,2,2,496,8.817777777777778
480,75,20,2,45,0.041666666666666664,47,9,5,2,6,0,0.0
480,75,20,1,44,0.041666666666666664,14,10,5,2,4,13,0.2311111111111111
480,75,17,1,41,0.041666666666666664,41,2,8,0,10,488,8.675555555555556
480,75,20,1,32,0.041666666666666664,13,6,8,1,7,817,14.524444444444445
480,75,19,3,45,0.041666666666666664,35,8,10,4,6,0,0.0
480,75,18,3,31,0.041666666666666664,36,5,3,1,10,969,17.226666666666667
480,75,16,2,47,0.041666666666666664,67,3,8,2,4,244,4.337777777777778
480,75,16,1,25,0.041666666666666664,12,7,7,2,7,116,2.062222222222222
480,75,18,1,37,0.041666666666666664,32,2,6,0,7,358,6.364444444444445
480,75,17,1,34,0.041666666666666664,30,3,3,2,10,378,6.72
480,75,18,3,39,0.041666666666666664,24,3,5,2,9,166,2.951111111111111
480,75,18,3,25,0.041666666666666664,59,5,9,2,9,376,6.684444444444444
480,75,15,1,37,0.041666666666666664,10,2,0,0,2,739,13.137777777777778
480,75,20,2,31,0.041666666666666664,37,8,6,2,10,712,12.65777777777778
480,75,17,2,12,0.041666666666666664,24,7,0,1,8,3033,53.92
480,75,16,2,31,0.041666666666666664,53,7,7,5,6,0,0.0
480,75,15,2,21,0.041666666666666664,36,3,10,2,9,285,5.066666666666666
480,75,17,2,28,0.041666666666666664,43,3,1,3,5,638,11.342222222222222
480,75,15,2,38,0.041666666666666664,68,2,3,5,3,603,10.72
480,75,19,2,13,0.041666666666666664,32,6,10,3,10,234,4.16
480,75,19,1,12,0.041666666666666664,37,6,9,0,10,633,11.253333333333334
480,75,17,2,19,0.041666666666666664,46,5,3,0,2,2688,47.78666666666667
480,75,19,3,16,0.041666666666666664,38,4,2,1,6,1542,27.413333333333334
480,75,16,3,28,0.041666666666666664,49,9,2,4,3,221,3.928888888888889
480,75,16,2,43,0.041666666666666664,10,4,9,0,2,50,0.8888888888888888
480,75,17,2,31,0.041666666666666664,52,4,2,5,2,0,0.0
480,75,18,1,31,0.041666666666666664,26,8,9,1,7,476,8.462222222222222
480,75,20,2,12,0.041666666666666664,62,7,8,2,6,2152,38.25777777777778
480,75,19,3,48,0.041666666666666664,11,6,6,5,5,0,0.0
480,75,17,3,48,0.041666666666666664,44,6,6,1,2,78,1.3866666666666667
480,75,18,2,23,0.041666666666666664,32,4,10,5,0,0,0.0
480,75,16,1,25,0.041666666666666664,13,4,2,1,3,736,13.084444444444445
480,75,18,1,29,0.041666666666666664,71,5,0,5,1,699,12.426666666666666
480,75,16,1,42,0.041666666666666664,46,6,2,1,9,862,15.324444444444444
480,75,16,3,34,0.041666666666666664,48,6,3,0,3,922,16.391111111111112
480,75,18,2,15,0.041666666666666664,72,5,3,4,7,4629,82.29333333333332
480,75,18,2,28,0.041666666666666664,68,2,9,5,1,0,0.0
480,75,20,3,34,0.041666666666666664,11,3,6,1,3,5,0.08888888888888889
480,75,17,3,44,0.041666666666666664,29,8,10,5,8,0,0.0
480,75,20,3,34,0.041666666666666664,27,3,3,2,4,53,0.9422222222222223
480,75,17,3,23,0.041666666666666664,66,9,5,4,9,4251,75.57333333333334
480,75,18,2,33,0.041666666666666664,47,10,3,0,4,2268,40.32
480,75,19,1,24,0.041666666666666664,28,4,3,3,3,481,8.55111111111111
480,75,16,3,12,0.041666666666666664,11,9,7,0,2,855,15.2
480,75,15,2,30,0.041666666666666664,73,3,1,4,8,1213,21.564444444444444
480,75,20,2,40,0.041666666666666664,25,9,10,1,5,104,1.8488888888888888
480,75,17,3,19,0.041666666666666664,10,9,7,0,1,300,5.333333333333334
480,75,18,3,28,0.041666666666666664,41,8,0,5,3,71,1.2622222222222221
480,75,15,2,34,0.041666666666666664,67,6,2,5,9,143,2.542222222222222
480,75,17,2,20,0.041666666666666664,19,4,1,4,1,0,0.0
480,75,18,2,23,0.041666666666666664,41,8,5,4,6,11,0.19555555555555554
480,75,20,2,22,0.041666666666666664,57,8,5,5,9,596,10.595555555555555
480,75,17,1,12,0.041666666666666664,70,5,1,3,4,2453,43.60888888888889
480,75,19,3,19,0.041666666666666664,63,3,8,4,4,1387,24.657777777777778
480,75,19,2,31,0.041666666666666664,52,6,9,4,2,317,5.635555555555555
480,75,17,1,13,0.041666666666666664,14,10,10,3,0,108,1.92
480,75,18,2,41,0.041666666666666664,69,10,3,0,4,2847,50.61333333333333
480,75,20,2,13,0.041666666666666664,66,5,8,3,9,874,15.537777777777778
480,75,16,1,37,0.041666666666666664,24,4,7,0,6,933,16.586666666666666
480,75,17,1,16,0.041666666666666664,27,7,4,4,10,705,12.533333333333333
480,75,16,1,18,0.041666666666666664,55,7,10,4,6,230,4.0888888888888895
480,75,20,3,42,0.041666666666666664,27,2,1,1,9,13,0.2311111111111111
480,75,15,2,41,0.041666666666666664,38,5,5,0,6,929,16.515555555555554
480,75,20,2,25,0.041666666666666664,12,6,9,1,5,545,9.688888888888888
480,75,20,1,13,0.041666666666666664,31,4,10,0,5,543,9.653333333333332
480,75,20,3,42,0.041666666666666664,32,3,1,2,9,45,0.8
480,75,16,3,34,0.041666666666666664,22,3,10,2,5,62,1.1022222222222222
480,75,19,1,40,0.041666666666666664,43,4,10,2,4,241,4.2844444444444445
480,75,16,2,40,0.041666666666666664,34,4,2,4,9,0,0.0
480,75,18,3,29,0.041666666666666664,41,8,3,2,0,276,4.906666666666667
480,75,20,1,33,0.041666666666666664,11,7,2,0,9,3109,55.27111111111112
480,75,15,3,16,0.041666666666666664,36,4,8,2,2,591,10.506666666666668
480,75,19,1,15,0.041666666666666664,58,4,3,1,3,3611,64.19555555555554
480,75,18,2,37,0.041666666666666664,16,7,6,0,8,281,4.995555555555556
480,75,15,3,36,0.041666666666666664,52,8,8,4,0,0,0.0
480,75,20,1,43,0.041666666666666664,38,4,3,3,5,222,3.9466666666666663
480,75,16,3,28,0.041666666666666664,28,4,0,4,10,0,0.0
480,75,20,2,28,0.041666666666666664,39,10,1,4,3,1712,30.435555555555556
480,75,20,3,17,0.041666666666666664,56,3,4,0,9,1364,24.24888888888889
480,75,19,2,15,0.041666666666666664,22,2,1,1,2,13,0.2311111111111111
480,75,19,3,33,0.041666666666666664,38,2,0,4,6,27,0.48
480,75,20,3,44,0.041666666666666664,29,8,2,3,1,0,0.0
480,75,18,2,25,0.041666666666666664,50,5,3,4,9,1286,22.862222222222222
480,75,20,3,25,0.041666666666666664,25,3,8,4,1,0,0.0
480,75,20,2,14,0.041666666666666664,64,8,6,1,9,3002,53.36888888888889
480,75,18,3,20,0.041666666666666664,50,5,9,2,10,1009,17.93777777777778
480,75,18,3,14,0.041666666666666664,25,8,10,5,9,0,0.0
480,75,19,3,36,0.041666666666666664,37,6,7,5,0,0,0.0
480,75,16,3,32,0.041666666666666664,24,4,2,4,2,0,0.0
480,75,16,3,46,0.041666666666666664,32,3,8,3,3,0,0.0
480,75,20,3,27,0.041666666666666664,74,10,0,1,0,5265,93.60000000000001
480,75,15,1,45,0.041666666666666664,32,2,6,1,2,300,5.333333333333334
480,75,15,1,15,0.041666666666666664,48,10,8,3,3,1077,19.14666666666667
480,75,18,1,32,0.041666666666666664,72,7,8,3,9,1790,31.822222222222223
480,75,18,2,38,0.041666666666666664,54,9,9,3,10,504,8.959999999999999
480,75,19,2,43,0.041666666666666664,18,7,10,0,0,41,0.7288888888888889
480,75,16,1,38,0.041666666666666664,69,3,1,5,0,14,0.2488888888888889
480,75,19,3,44,0.041666666666666664,27,3,5,5,0,0,0.0
480,75,17,1,23,0.041666666666666664,11,8,2,0,6,2477,44.035555555555554
480,75,15,3,42,0.041666666666666664,29,9,9,2,10,67,1.1911111111111112
480,75,19,1,22,0.041666666666666664,41,6,9,0,0,769,13.671111111111111
480,75,15,3,47,0.041666666666666664,29,7,2,2,8,18,0.32
480,75,17,1,47,0.041666666666666664,53,7,2,1,1,1263,22.453333333333333
480,75,17,1,42,0.041666666666666664,15,3,10,3,3,40,0.7111111111111111
480,75,18,3,37,0.041666666666666664,49,7,4,5,1,0,0.0
480,75,17,1,21,0.041666666666666664,57,7,10,5,9,223,3.9644444444444447
480,75,20,2,29,0.041666666666666664,31,7,3,4,0,0,0.0
480,75,20,3,30,0.041666666666666664,10,4,10,4,4,0,0.0
480,75,16,1,39,0.041666666666666664,25,6,9,5,3,0,0.0
480,75,20,3,38,0.041666666666666664,15,2,6,2,4,5,0.08888888888888889
480,75,19,2,36,0.041666666666666664,68,8,0,5,3,0,0.0
480,75,16,1,17,0.041666666666666664,62,2,0,3,6,1384,24.604444444444447
480,75,19,3,27,0.041666666666666664,57,3,10,0,0,408,7.253333333333334
480,75,18,2,37,0.041666666666666664,58,6,7,5,8,0,0.0
480,75,15,3,16,0.041666666666666664,53,8,7,2,7,2263,40.23111111111111
480,75,16,2,29,0.041666666666666664,60,4,6,4,0,0,0.0
480,75,18,1,36,0.041666666666666664,33,3,5,2,1,0,0.0
480,75,17,1,46,0.041666666666666664,19,6,0,3,4,39,0.6933333333333334
480,75,15,1,28,0.041666666666666664,45,9,2,0,5,3610,64.17777777777778
480,75,19,3,20,0.041666666666666664,38,9,10,4,0,147,2.6133333333333333
480,75,18,1,48,0.041666666666666664,43,3,3,3,5,16,0.28444444444444444
480,75,17,1,40,0.041666666666666664,63,5,8,3,2,207,3.6799999999999997
480,75,19,2,43,0.041666666666666664,26,9,5,4,7,12,0.21333333333333335
480,75,15,2,38,0.041666666666666664,75,7,4,3,1,970,17.244444444444447
480,75,15,2,26,0.041666666666666664,33,8,3,5,7,81,1.44
480,75,15,1,45,0.041666666666666664,54,2,10,3,1,59,1.048888888888889
480,75,16,2,14,0.041666666666666664,38,7,0,1,0,4481,79.66222222222223
480,75,18,3,14,0.041666666666666664,13,9,0,2,3,1573,27.964444444444442
480,75,20,3,44,0.041666666666666664,36,2,7,2,2,3,0.05333333333333334
480,75,16,2,42,0.041666666666666664,39,3,1,4,1,0,0.0
480,75,17,3,32,0.041666666666666664,28,6,5,0,1,373,6.631111111111111
480,75,15,3,18,0.041666666666666664,72,2,10,1,8,1711,30.417777777777776
480,75,16,2,32,0.041666666666666664,53,9,3,4,3,378,6.72
480,75,19,2,16,0.041666666666666664,33,4,0,0,7,997,17.724444444444444
480,75,16,2,44,0.041666666666666664,68,9,8,0,10,1683,29.92
480,75,19,2,15,0.041666666666666664,63,4,9,0,3,1303,23.16444444444444
480,75,19,1,47,0.041666666666666664,60,6,1,1,8,481,8.55111111111111
480,75,17,3,43,0.041666666666666664,25,5,4,4,6,0,0.0
480,75,18,3,38,0.041666666666666664,69,4,6,0,3,1818,32.32
480,75,16,2,47,0.041666666666666664,49,6,0,1,0,352,6.257777777777777
480,75,20,1,33,0.041666666666666664,25,2,3,1,0,606,10.773333333333333
480,75,17,3,22,0.041666666666666664,31,3,6,2,7,1235,21.955555555555556
480,75,20,1,18,0.041666666666666664,20,6,2,0,8,1913,34.00888888888889
480,75,16,1,23,0.041666666666666664,24,8,2,1,3,1658,29.475555555555555
480,75,17,3,43,0.041666666666666664,50,4,7,3,3,26,0.4622222222222222
480,75,17,2,39,0.041666666666666664,61,4,10,4,3,0,0.0
480,75,16,3,14,0.041666666666666664,39,2,0,4,1,728,12.942222222222222
480,75,17,3,19,0.041666666666666664,72,8,10,5,10,1020,18.133333333333333
480,75,20,1,22,0.041666666666666664,11,7,8,3,1,543,9.653333333333332
480,75,16,2,33,0.041666666666666664,24,4,10,1,8,136,2.417777777777778
480,75,20,2,28,0.041666666666666664,37,9,9,1,7,150,2.666666666666667
480,75,18,2,26,0.041666666666666664,55,9,3,5,5,0,0.0
480,75,17,3,21,0.041666666666666664,50,8,0,2,3,4374,77.75999999999999
480,75,16,3,32,0.041666666666666664,67,2,4,0,5,2268,40.32
480,75,17,1,35,0.041666666666666664,31,5,3,3,6,585,10.4
480,75,17,2,47,0.041666666666666664,52,5,10,4,7,0,0.0
480,75,18,1,13,0.041666666666666664,46,2,8,5,4,429,7.626666666666666
480,75,20,2,35,0.041666666666666664,54,9,2,4,10,2732,48.56888888888889
480,75,15,3,47,0.041666666666666664,10,2,6,5,10,0,0.0
480,75,18,3,30,0.041666666666666664,43,8,0,1,0,73,1.2977777777777777
480,75,18,3,19,0.041666666666666664,51,8,10,2,8,564,10.026666666666667
480,75,19,1,15,0.041666666666666664,46,10,2,2,5,1926,34.239999999999995
480,75,17,3,38,0.041666666666666664,40,7,8,1,10,223,3.9644444444444447
480,75,20,3,41,0.041666666666666664,18,9,10,5,7,0,0.0
480,75,20,2,44,0.041666666666666664,69,8,0,0,5,4244,75.44888888888889
480,75,15,3,31,0.041666666666666664,23,9,3,1,3,1160,20.622222222222224
480,75,19,1,17,0.041666666666666664,48,4,8,5,5,432,7.68
480,75,18,3,25,0.041666666666666664,54,6,7,5,0,0,0.0
480,75,19,2,48,0.041666666666666664,36,5,3,3,7,0,0.0
480,75,15,3,26,0.041666666666666664,33,6,4,5,5,1213,21.564444444444444
480,75,18,3,38,0.041666666666666664,58,2,0,4,3,1111,19.75111111111111
480,75,16,2,41,0.041666666666666664,45,4,9,1,8,218,3.8755555555555556
480,75,15,2,28,0.041666666666666664,27,6,2,4,2,61,1.0844444444444445
480,75,18,3,29,0.041666666666666664,11,5,1,0,10,10,0.17777777777777778
480,75,17,2,37,0.041666666666666664,19,9,8,1,5,141,2.506666666666667
480,75,17,2,43,0.041666666666666664,41,9,1,1,6,463,8.231111111111112
480,75,20,2,40,0.041666666666666664,65,2,0,4,9,134,2.3822222222222225
480,75,19,3,13,0.041666666666666664,39,5,8,4,5,581,10.328888888888889
480,75,20,3,33,0.041666666666666664,45,6,7,5,1,0,0.0
480,75,17,2,14,0.041666666666666664,49,9,7,4,8,1455,25.866666666666667
480,75,16,2,12,0.041666666666666664,39,3,8,0,7,309,5.493333333333333
480,75,18,1,23,0.041666666666666664,52,4,1,3,1,1422,25.28
480,75,18,3,13,0.041666666666666664,49,7,0,0,6,4195,74.57777777777778
480,75,15,2,42,0.041666666666666664,28,3,6,2,10,76,1.3511111111111112
480,75,18,3,47,0.041666666666666664,74,4,3,2,7,193,3.431111111111111
480,75,15,2,19,0.041666666666666664,25,10,7,0,7,1047,18.613333333333333
480,75,19,3,47,0.041666666666666664,62,3,5,4,7,81,1.44
480,75,15,2,25,0.041666666666666664,25,3,6,5,8,0,0.0
480,75,18,2,36,0.041666666666666664,46,9,7,4,10,15,0.26666666666666666
480,75,18,1,22,0.041666666666666664,19,5,10,2,5,191,3.3955555555555557
480,75,18,2,44,0.041666666666666664,42,5,7,5,9,0,0.0
480,75,19,1,39,0.041666666666666664,43,10,9,3,2,127,2.2577777777777777
480,75,15,1,39,0.041666666666666664,26,7,0,2,1,105,1.866666666666667
480,75,16,3,13,0.041666666666666664,52,6,6,2,8,1646,29.262222222222224
480,75,17,3,42,0.041666666666666664,72,9,8,1,6,1003,17.831111111111113
480,75,18,1,37,0.041666666666666664,62,7,3,2,1,2508,44.586666666666666
480,75,16,1,27,0.041666666666666664,12,3,1,0,1,591,10.506666666666668
480,75,15,1,26,0.041666666666666664,28,8,2,4,1,82,1.4577777777777778
480,75,17,2,19,0.041666666666666664,63,10,10,4,1,478,8.497777777777777
480,75,16,2,20,0.041666666666666664,27,4,4,1,1,1380,24.53333333333333
480,75,17,1,43,0.041666666666666664,55,9,8,1,1,500,8.88888888888889
480,75,19,2,13,0.041666666666666664,62,5,1,0,1,5018,89.2088888888889
480,75,20,2,29,0.041666666666666664,49,2,10,2,7,307,5.457777777777778
480,75,16,1,38,0.041666666666666664,44,9,6,1,8,1627,28.924444444444447
480,75,17,2,33,0.041666666666666664,52,10,6,3,2,127,2.2577777777777777
480,75,17,2,21,0.041666666666666664,31,4,2,2,0,779,13.848888888888888
480,75,16,3,43,0.041666666666666664,55,5,1,2,9,214,3.8044444444444445
480,75,16,3,38,0.041666666666666664,74,6,6,4,0,0,0.0
480,75,20,3,32,0.041666666666666664,24,3,3,3,2,21,0.37333333333333335
480,75,16,2,15,0.041666666666666664,46,5,2,4,5,0,0.0
480,75,20,1,17,0.041666666666666664,17,10,5,5,5,968,17.20888888888889
480,75,18,3,40,0.041666666666666664,42,7,6,4,9,7,0.12444444444444445
480,75,17,1,22,0.041666666666666664,71,5,8,4,3,904,16.07111111111111
480,75,20,1,16,0.041666666666666664,30,2,5,3,4,311,5.528888888888889
480,75,17,2,26,0.041666666666666664,20,10,0,2,10,14,0.2488888888888889
480,75,19,1,28,0.041666666666666664,41,8,6,0,6,2544,45.22666666666667
480,75,15,2,32,0.041666666666666664,74,4,3,3,2,287,5.102222222222222
480,75,17,1,31,0.041666666666666664,43,5,4,1,1,917,16.302222222222223
480,75,15,1,29,0.041666666666666664,39,10,9,0,10,781,13.884444444444444
480,75,19,1,16,0.041666666666666664,75,6,3,0,10,2732,48.56888888888889
480,75,18,1,14,0.041666666666666664,34,8,6,1,9,1524,27.093333333333337
480,75,20,3,33,0.041666666666666664,24,4,6,0,10,198,3.52
480,75,17,1,27,0.041666666666666664,41,8,0,5,3,0,0.0
480,75,18,2,35,0.041666666666666664,50,7,0,3,2,172,3.0577777777777775
480,75,16,1,44,0.041666666666666664,55,10,2,3,3,180,3.2
480,75,20,2,18,0.041666666666666664,42,10,3,2,0,2211,39.306666666666665
480,75,16,1,29,0.041666666666666664,39,8,0,4,9,879,15.626666666666667
480,75,18,1,12,0.041666666666666664,44,4,7,1,2,966,17.173333333333332
480,75,15,2,23,0.041666666666666664,26,6,2,1,8,1667,29.635555555555555
480,75,15,3,42,0.041666666666666664,29,5,3,2,10,0,0.0
480,75,15,2,13,0.041666666666666664,64,6,0,4,2,5161,91.75111111111111
480,75,16,3,30,0.041666666666666664,44,8,5,4,4,15,0.26666666666666666
480,75,19,3,39,0.041666666666666664,49,9,9,0,4,366,6.506666666666666
480,75,17,2,20,0.041666666666666664,42,8,5,5,8,475,8.444444444444445
480,75,17,2,37,0.041666666666666664,61,6,6,4,0,93,1.6533333333333333
480,75,18,2,34,0.041666666666666664,28,3,7,5,8,0,0.0
480,75,18,3,22,0.041666666666666664,71,7,6,2,1,3108,55.25333333333333
480,75,16,2,35,0.041666666666666664,35,2,4,2,6,73,1.2977777777777777
480,75,17,1,15,0.041666666666666664,10,6,4,2,5,562,9.991111111111111
480,75,20,2,19,0.041666666666666664,20,10,9,3,6,275,4.888888888888889
480,75,16,1,22,0.041666666666666664,34,5,1,4,2,712,12.65777777777778
480,75,18,1,45,0.041666666666666664,54,7,1,2,4,215,3.822222222222222
480,75,18,2,24,0.041666666666666664,28,5,8,1,10,388,6.897777777777778
